General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates start after
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.6590098,7.2978961,6.0334512,5.3982726,5.9327435,5.1137137,4.9325993,5.6601652,5.5986701,5.1586871,4.733175,4.7166197,3.9080219,4.6729872,7.9759194,7.9902264,7.5965275,11.146951,11.43492,11.563137,10.789643,10.239326,9.4344783,8.5069187,9.047115,19.095612,18.418603,19.112143,20.183682,23.61853,2024
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.657802,10.733665,11.432127,12.820592,13.018718,13.907527,13.946668,14.322455,14.302894,13.646678,11.974829,10.813977,9.8419417,8.0319899,6.375619,6.7634159,7.0919399,8.2194047,10.650997,11.046546,10.893435,11.543959,13.851155,15.379206,15.179735,15.837202,16.442756,17.649202,16.535042,14.269444,13.854756,21.890134,39.285757,54.19552,56.193595,55.204461,55.363464,52.235383,46.843421,44.020711,42.447172,40.896738,40.128672,42.697444,42.576902,39.869797,38.005102,33.906356,32.562689,41.534102,50.112886,52.024432,57.856152,60.811707,64.812611,68.764273,68.649202,66.580777,65.278321,65.241487,75.414761,73.247211,74.033739,77.301908,82.530305,2024
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.425996,21.538828,21.298485,22.63993,26.201027,27.733164,30.190666,31.851217,32.395672,34.755291,34.667055,35.525607,36.791325,37.772083,41.705228,48.157848,51.580402,57.805004,60.593469,61.983253,62.099697,61.423125,59.721388,59.322254,61.256043,65.36386,66.879403,68.186037,65.400811,65.476775,69.819176,84.055614,86.27793,88.749329,91.741949,94.555055,96.163266,96.970022,98.153121,98.761564,98.528337,98.161875,114.90004,112.78574,111.3631,109.77403,113.10798,2024
Germany,18.811777,16.686637,15.705143,20.561889,21.810273,20.210323,18.810424,18.077472,17.935647,17.670612,16.511505,16.30565,15.851133,16.6209,16.638594,17.262295,18.055041,20.730319,20.805569,18.711402,17.660809,17.740426,17.961906,17.326166,18.523355,23.659306,25.081258,26.034977,27.368866,28.243689,30.135038,33.613711,36.438177,37.965751,38.658178,39.22932,39.087201,40.108059,40.524931,39.193367,40.736303,39.48549,41.862576,45.512365,47.874942,55.287511,58.109574,59.206529,59.808635,60.349213,59.238799,58.061561,59.823106,63.344326,64.964894,67.120191,66.396722,63.687053,65.160251,72.336274,81.008922,78.457972,79.803562,77.435095,74.520346,71.215919,68.282224,64.026225,60.809267,58.701059,68.035175,68.076818,64.997332,62.877686,63.88822,2024
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.6443109,9.019528,9.7514621,11.558262,12.418604,12.788068,14.450301,16.149749,17.400647,18.899849,18.790195,19.164274,20.055755,16.549946,17.468913,19.148915,18.643321,18.805694,24.38922,22.713452,22.843665,27.057819,29.723325,34.064615,40.6258,47.278915,47.806817,53.152028,57.873949,60.665177,74.186225,75.736129,81.095659,101.70302,99.682052,100.38662,103.72417,102.5989,100.78523,102.84298,108.85406,110.53475,107.87131,104.25857,105.49313,109.85894,105.33419,104.63716,110.90731,128.48185,147.84617,175.07556,164.2785,180.50955,182.8236,180.00055,183.67482,182.62305,189.55279,183.69059,209.92691,197.80558,178.44083,165.15437,150.89135,2024
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.457287,63.444392,73.996389,76.234441,86.956358,85.871664,83.868392,71.16823,62.195736,60.422119,60.296603,55.637609,52.20472,55.556735,58.174428,58.907097,60.578757,64.488944,65.579937,71.801081,78.188368,80.174301,80.468347,78.363984,77.220233,76.490502,75.724127,74.645886,72.001639,68.816159,64.988431,78.686584,76.214604,73.861006,72.966242,73.454354,2024
Iceland,14.551616,14.449046,13.642236,10.718979,9.255047,8.5625906,6.7108068,6.6477082,5.1131326,4.9617047,13.63206,8.4949271,7.466512,7.8944387,7.9748071,7.7793918,5.563,8.7958246,14.221076,14.641349,11.442099,11.748565,14.543656,11.46252,12.541627,16.387483,17.174001,18.375301,19.803421,21.067239,24.774048,22.372047,28.948088,30.751438,32.424858,32.016791,29.86556,27.326043,30.588221,35.286097,35.489942,37.607619,45.401092,52.29382,54.808423,58.070268,55.574695,52.047615,43.952795,76.592958,75.796302,83.382672,82.15995,85.06786,80.861399,68.931071,70.651032,68.404314,110.35666,128.77334,133.1411,138.1759,133.92495,121.9603,115.29913,97.322974,82.471489,71.742256,63.246715,66.527874,77.511551,74.915257,67.534232,61.991208,59.077272,2024
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,63.457207,64.601484,68.781936,73.450466,86.146982,90.231415,92.958831,107.23114,108.26389,106.50778,97.920509,92.656185,93.763033,90.567092,93.368515,88.020232,78.521928,69.833403,61.578386,51.413883,46.570142,36.41231,33.577882,30.889572,29.832048,28.103149,26.059681,23.653226,23.948394,42.513736,61.76463,86.134993,109.42825,118.72992,117.49445,101.27588,73.961599,72.639624,65.233855,61.471633,55.924411,57.00719,52.564195,43.149197,43.283309,41.113213,2024
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,247.44242,269.76935,189.04517,154.3494,136.07035,138.094,140.04626,131.34453,117.47931,113.65231,112.39251,104.67956,93.058226,91.563174,90.170138,91.952618,86.51851,77.145572,81.046995,87.127336,89.542273,88.183138,85.174746,77.473512,70.68641,70.15042,72.467188,68.94016,67.097338,66.787618,65.798056,64.709572,63.123233,61.472602,59.651717,59.917299,59.09019,71.092806,67.793322,60.466603,61.471816,67.848206,2024
Italy,30.985153,31.419462,33.488384,34.436082,36.245068,36.2088,35.250606,34.633152,34.577334,35.805078,32.10793,30.727608,29.671921,27.867411,27.893226,29.080489,34.036151,33.853469,36.351827,36.997262,37.76759,42.447456,48.21675,51.091296,50.770501,57.899269,57.265414,55.954093,59.912763,58.870119,55.08883,57.294829,61.797134,67.816309,73.129843,79.097925,83.389922,87.406186,89.224548,91.784655,95.295572,98.643589,105.35722,115.47945,121.57852,119.08785,118.89628,116.49059,113.88689,113.05855,108.74276,108.51307,105.94745,105.14083,104.74201,106.17675,106.25696,103.4635,105.8016,116.13887,118.75559,119.12696,125.89866,131.85192,134.79525,134.78817,134.23978,133.7409,134.19834,133.89806,154.37916,145.81247,138.34522,134.63732,135.32627,2024
Japan,no data,no data,no data,no data,no data,13.503016,14.889601,12.019665,12.831277,12.1211,10.413437,8.4405844,9.0138887,8.6562559,8.5252259,9.7786935,11.216134,11.356836,11.81746,11.436378,11.24863,12.604938,16.305228,15.896144,16.705092,20.889573,26.097625,31.102928,39.046826,43.812703,47.775621,52.814987,57.730372,63.51113,65.601839,68.309844,74.079102,75.833458,71.944262,65.674493,63.232682,62.384549,66.765616,72.837523,84.361173,92.525578,98.05354,104.97094,116.01995,129.50119,135.6086,145.12353,154.09566,160.02076,169.48993,174.5947,174.14256,172.95109,180.85069,198.80682,205.87929,219.16162,226.09283,229.45072,233.28113,228.27837,232.42123,231.32077,232.3803,236.38106,258.36886,253.65204,248.30916,239.97054,236.65953,2024
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.787315,11.92572,11.645269,10.862126,9.6310384,8.484557,7.8105397,9.6939101,13.81718,15.759142,16.087068,16.625069,16.444395,19.101829,21.602522,24.917414,27.043411,26.345625,25.856443,28.790524,28.274647,31.700104,33.535501,36.003965,37.876458,38.842657,39.143586,38.011446,37.854018,39.729917,45.915048,47.987823,49.797859,50.696557,52.487525,2024
