Country Name,"Country Code","Series Name","Series Code","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Australia,"AUS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.62776445368168","2.61537902431631","0.224895027032537","0.860129922016289","1.48313946657267","4.45743705920869","4.40712998561533","2.98157117047457","2.73259754838937","2.34325687131265","2.69182949622197","3.55528696972984","2.32761442623159","4.35029726664093","1.77112025681656","2.9183370211222","3.30384784681081","1.76278299052228","2.44988248109259","2.48792932080492","1.50836803138463","1.27699365720306","1.94864309065653","1.91140002818579","1.610770929127","0.846900734607273","2.86391284709318","6.59409658717841","5.59701792296707","3.16656665428797","#N/A"
Brazil,"BRA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","66.0070335542481","15.7576656002606","6.92671251629154","3.19507629280051","4.85844749902666","7.04414105947265","6.84035902487523","8.45016437708331","14.7149197228147","6.59718509985963","6.86953720898964","4.18356812896909","3.64127299102652","5.67859390284168","4.88803479876798","5.03872690108074","6.6364496221309","5.40349914036997","6.204310666401","6.32904015516138","9.02990102416136","8.73914352329393","3.44637335032669","3.66485028376728","3.73297621216893","3.21176803803376","8.30165975585673","9.28010608956872","4.59356282283203","4.36746407652336","#N/A"
China,"CHN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","16.7912251650916","8.31316028893908","2.78646505531881","-0.773186011549318","-1.40147268276464","0.347811226864586","0.719125609120113","-0.731970902350243","1.12760348729637","3.82463743108159","1.7764140766757","1.64943099455859","4.81676767378834","5.92525137041091","-0.728165250932898","3.17532475269199","5.55389892257493","2.6195243264554","2.62105001748114","1.9216416278852","1.43702380935654","2.00000182191943","1.59313600071435","2.07479039965576","2.89923416358226","2.41942189457782","0.981015135544881","1.9735755573905","0.23483682889305","0.218128938439177","#N/A"
France,"FRA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.79648142095589","1.98288365089738","1.20394294026963","0.651126867833072","0.537141639134596","1.67595988720928","1.63478079549599","1.92341228727063","2.09847219146919","2.14208964640238","1.74586936380487","1.67512449608726","1.48799805953859","2.81286194914785","0.0876204781574653","1.53112270420918","2.11159795175","1.95419531613509","0.863715497861804","0.507758822937989","0.0375143805125181","0.183334861123764","1.03228275064681","1.85081508315492","1.10825492288293","0.476498852725065","1.64233141038393","5.22236748369725","4.8783572650844","1.99904942291462","#N/A"
Germany,"DEU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","1.70616041317076","1.44972701963238","1.93937198922729","0.911183535014403","0.585433064230783","1.44026838719741","1.98385731334471","1.42080615551526","1.03422218628562","1.66573696655991","1.54691114751328","1.57742642840563","2.2983440070095","2.62837981637219","0.312739007368446","1.1038103778926","2.07517283735874","2.00848884782956","1.50472330251876","0.906794000434245","0.514426137125456","0.491747008445174","1.50949485109628","1.73216879766941","1.44565976888253","0.144877925813981","3.06666666666673","6.87257438551096","5.94643667725823","2.2564981433876","#N/A"
India,"IND","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","10.2248861637544","8.97715233826453","7.16425211462724","13.2308389767977","4.66982038037594","4.0094359104519","3.77929312235637","4.29715203929563","3.80585899528851","3.76725173477515","4.24634362031922","5.79652337561634","6.37288135593231","8.34926704907581","10.8823529411764","11.9893899204244","8.91179336483371","9.47899691419801","10.0178784746102","6.66565671867899","4.90697344127256","4.94821634062141","3.32817337461298","3.9388264669163","3.72950573539129","6.62343677628535","5.13140747176369","6.69903414079852","5.64914318907925","4.95303550973656","#N/A"
Indonesia,"IDN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","9.42030300572996","7.97328096513346","6.22615154887214","58.4510413515526","20.4778324428892","3.68862037056682","11.5001160550887","11.9001200338414","6.75731256333564","6.06406189133648","10.4532001873347","13.108670985346","6.40656087966005","10.2266663272483","4.38641311792074","5.13420639015885","5.35604849112582","4.2795142691943","6.41249457900391","6.39492882396559","6.36312061196646","3.52580452815451","3.80879857691949","3.19834755924996","3.03058460941661","1.91983527270793","1.56007882983334","4.20946463714784","3.66938654859761","2.18151273615189","#N/A"
Italy,"ITA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","5.23542258044301","4.0069766898104","2.04310779750136","1.95508557719381","1.66345995007714","2.53768532095002","2.78516542713554","2.46532319171165","2.6725555277285","2.20673661423657","1.9852929852798","2.09084391012754","1.82974112202403","3.34783258401022","0.774768131387381","1.52551602118248","2.78063272879323","3.04136333226775","1.21999342274306","0.241047429826756","0.0387903996579733","-0.09401665691575","1.22653316645812","1.13748763600391","0.611246943765304","-0.13770757391651","1.87378325762481","8.20128991161718","5.62219442195901","0.982373023061417","#N/A"
Japan,"JPN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","-0.127899045020446","0.136600358575909","1.74780458692133","0.661974191385911","-0.341296928327554","-0.676578683595175","-0.740055504162738","-0.923494026942321","-0.256541816316025","-0.00857338820310272","-0.282946068764391","0.249355116079085","0.060039454498669","1.3800788616492","-1.35283672951719","-0.728243207517779","-0.27245561610124","-0.0440645104432602","0.335037912184741","2.75922671353253","0.795279630579839","-0.127258844489754","0.484199796126385","0.989094598021848","0.46877615938395","-0.024995834027731","-0.233352779398264","2.49770278172255","3.26813365933163","2.73853681635241","#N/A"
"Korea, Rep.","KOR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.48074108557248","4.92454354292754","4.4389318457463","7.51358008079307","0.81295725444637","2.25916580080157","4.06657587897792","2.76226210296599","3.51487451459939","3.59066298882578","2.75379162735039","2.24234028518921","2.53457382137932","4.67389655533408","2.7564965449393","2.93928652655686","4.0259650043609","2.18707104433314","1.30134754547413","1.27477446401322","0.70633177245575","0.971685739912168","1.94433230786366","1.47583935002645","0.383000303608136","0.537288023411737","2.49833333333339","5.08951365062842","3.5974562502901","2.32174328643542","#N/A"
