Country Name,Current Debt (%),Avg GDP Growth (%),> Abs Min (30.9%),> Max +1σ (32.5%),> Max +3σ (47.9%)
Chile,4.92,5.09,NO,NO,NO
Colombia,32.38,3.06,YES,NO,NO
Hungary,71.8,3.08,YES,YES,YES
Poland,46.56,4.77,YES,YES,NO
Turkey,37.75,5.1,YES,YES,NO
