Country Name,Avg Debt (%),Avg GDP Growth (%),> Abs Min (23.0%),> Max +1σ (71.3%),> Max +3σ (79.8%)
Brazil,74.52,1.34,YES,YES,NO
China,48.87,7.15,YES,NO,NO
Egypt,82.02,4.01,YES,YES,YES
India,72.79,6.12,YES,YES,NO
Russia,13.93,1.02,NO,NO,NO
United Arab Emirates,23.28,2.51,YES,NO,NO
