Country Name,Current Debt (%),Avg Elite Ratio,Avg GDP Growth (%),> Abs Min (92.2%),> Max +1σ (94.8%),> Max +3σ (69.1%)
Australia,11.74,11.27,3.71,NO,NO,NO
Austria,69.53,52.68,2.49,NO,NO,YES
Belgium,93.16,6.56,2.37,YES,NO,YES
Brazil,61.42,34.95,3.71,NO,NO,NO
Canada,70.36,4.02,2.96,NO,NO,YES
Chile,4.92,38.59,5.09,NO,NO,NO
China,26.72,3.64,10.02,NO,NO,NO
Colombia,32.38,38.7,3.06,NO,NO,NO
Czech Republic,28.15,11.12,3.45,NO,NO,NO
Denmark,35.54,17.23,2.11,NO,NO,NO
Egypt,66.76,15.49,5.14,NO,NO,NO
Estonia,4.67,169.1,6.1,NO,NO,NO
Finland,32.56,21.62,3.8,NO,NO,NO
France,69.82,9.71,2.25,NO,NO,YES
Germany,65.16,16.17,1.58,NO,NO,NO
Greece,110.91,9.11,3.5,YES,YES,YES
Hungary,71.8,12.55,3.08,NO,NO,YES
Iceland,110.36,97.01,4.43,YES,YES,YES
India,74.37,7.85,6.37,NO,NO,YES
Indonesia,30.25,13.15,5.16,NO,NO,NO
Ireland,42.51,-26.92,6.38,NO,NO,NO
Israel,70.15,16.97,4.13,NO,NO,YES
Italy,105.8,7.47,1.45,YES,YES,YES
Japan,180.85,12.47,1.11,YES,YES,YES
Latvia,16.95,23.09,6.32,NO,NO,NO
Lithuania,14.59,11.47,6.1,NO,NO,NO
Luxembourg,14.63,14.87,4.25,NO,NO,NO
Netherlands,54.35,10.7,2.93,NO,NO,NO
Norway,47.55,22.14,2.82,NO,NO,NO
Poland,46.56,-59.12,4.77,NO,NO,NO
Portugal,75.64,12.96,2.39,NO,NO,YES
Russia,7.45,11.02,5.79,NO,NO,NO
Slovakia,28.61,3.14,5.06,NO,NO,NO
Slovenia,21.89,6.19,4.15,NO,NO,NO
South Korea,25.86,27.54,5.65,NO,NO,NO
Spain,39.61,6.96,3.39,NO,NO,NO
Sweden,37.95,-14.21,2.96,NO,NO,NO
Switzerland,44.82,12.48,2.11,NO,NO,NO
Turkey,37.75,18.5,5.1,NO,NO,NO
United Arab Emirates,8.95,31.03,3.19,NO,NO,NO
United Kingdom,50.83,10.37,2.8,NO,NO,NO
United States,73.59,106.03,3.0,NO,NO,YES
