Country Name,Current Debt (%),Avg Elite Ratio,Avg GDP Growth (%),> Abs Min (19.4%),> Max +1σ (19.7%),> Max +3σ (47.0%)
Brazil,83.94,33.98,1.34,YES,YES,YES
China,75.45,9.98,7.15,YES,YES,YES
Egypt,88.53,15.13,4.01,YES,YES,YES
India,82.17,9.87,6.12,YES,YES,YES
Russia,18.48,21.31,1.02,NO,NO,NO
United Arab Emirates,32.06,17.41,2.51,YES,YES,NO
