Country Name,Current Debt (%),Avg GDP Growth (%),> Abs Min (65.7%),> Max +1σ (73.7%),> Max +3σ (77.7%)
Australia,50.22,2.44,NO,NO,NO
Austria,78.34,1.15,YES,YES,YES
Belgium,102.56,1.35,YES,YES,YES
Canada,104.21,1.77,YES,YES,YES
Czech Republic,42.52,1.56,NO,NO,NO
Denmark,34.08,1.25,NO,NO,NO
Estonia,19.11,1.88,NO,NO,NO
Finland,74.03,0.31,YES,YES,NO
France,111.36,0.96,YES,YES,YES
Germany,65.0,1.13,NO,NO,NO
Greece,178.44,-1.35,YES,YES,YES
Iceland,67.53,1.72,YES,NO,NO
Indonesia,40.14,4.7,NO,NO,NO
Ireland,43.15,6.35,NO,NO,NO
Israel,60.47,3.93,NO,NO,NO
Italy,138.35,0.13,YES,YES,YES
Japan,248.31,0.41,YES,YES,YES
Latvia,44.43,1.07,NO,NO,NO
Lithuania,38.06,2.34,NO,NO,NO
Luxembourg,24.9,1.95,NO,NO,NO
Netherlands,48.35,1.38,NO,NO,NO
Norway,36.11,1.36,NO,NO,NO
Portugal,111.23,0.68,YES,YES,YES
Slovakia,57.57,2.06,NO,NO,NO
Slovenia,72.74,1.33,YES,NO,NO
South Korea,49.8,3.01,NO,NO,NO
Spain,109.4,0.66,YES,YES,YES
Sweden,33.63,1.79,NO,NO,NO
Switzerland,37.19,1.69,NO,NO,NO
United Kingdom,99.61,1.34,YES,YES,YES
United States,118.81,1.99,YES,YES,YES
