Country Name,Year,"Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),Inflation (Annual %),Wealth Inequality (Top 10%),Wealth Inequality (Bottom 50%),Year_Raw,General Government Debt (% of GDP)
Australia,1995,3.59858176504927,1.09719923632464,3.89017188961647,25.9545428001265,1.11373422085118,4.62776445368168,0.5638000000000001,0.0506,1995,31.143021
Australia,1996,1.13541742026476,1.24548817167807,3.86567479160071,24.7503241868902,1.21385498322201,2.61537902431631,0.5638000000000001,0.0505,1996,29.345241
Australia,1997,1.85369309475488,1.39395739968187,3.91795814771731,24.8171857091867,1.0820399195962,0.224895027032537,0.5630000000000001,0.0507,1997,25.907213
Australia,1998,1.89768756641747,1.16560839509385,4.67681373479508,25.6000393051793,0.996734717801419,0.860129922016289,0.5640000000000001,0.0505,1998,23.698221
Australia,1999,0.566396956795571,0.0797660284987916,5.02822035850596,26.0993037595699,1.09397580294231,1.48313946657267,0.5641,0.0505,1999,22.543955
Australia,2000,3.57229745403377,0.98224998845279,3.9160574881715,26.2042380502619,1.14447285147721,4.45743705920869,0.5649000000000001,0.0504,2000,19.495351
Australia,2001,2.81762721403267,3.51793600501441,2.03145880248898,23.3481102313323,1.28396809127349,4.40712998561533,0.5647,0.0504,2001,17.105665
Australia,2002,3.69701188608667,1.75925825328776,3.94980535772942,24.3675142044517,1.1375387361946,2.98157117047457,0.5663,0.0502,2002,15.010398
Australia,2003,1.9178050221833,3.96950924145422,3.0912800997751,25.8939093336516,1.15019273319182,2.73259754838937,0.5663,0.0502,2003,13.186322
Australia,2004,6.96956991636737,1.58940274409427,4.21894147547516,27.0204316493562,1.06919812205752,2.34325687131265,0.5673,0.05,2004,11.907291
Australia,2005,-3.60113772652235,-4.69472657586151,3.15548121323168,27.4127496143182,1.21729073052406,2.69182949622197,0.5679000000000001,0.0499,2005,10.858112
Australia,2006,4.0750646338694,3.21225338051937,2.7709261737475,27.4574581872329,1.34945083098893,3.55528696972984,0.5682,0.0499,2006,9.9377855
Australia,2007,5.18803286061474,1.68348370451569,3.78947119882653,27.4507449663445,1.82499679529254,2.32761442623159,0.5687,0.0498,2007,9.6654472
Australia,2008,4.26757732505596,3.01268140598832,3.62398503565633,28.5401924147253,2.00391140524272,4.35029726664093,0.5696,0.0497,2008,11.741729
Australia,2009,3.10519028312049,1.23034079079379,1.95484826298522,27.2762472195114,2.06083316277243,1.77112025681656,0.5713,0.0494,2009,16.622245
Australia,2010,3.08482804330762,1.56768207893318,2.21004795300735,26.697693257066,1.55570626204128,2.9183370211222,0.5703,0.0496,2010,20.349581
Australia,2011,4.67434620832808,0.588096441869602,2.39473494330615,26.3824449207632,1.38952731561803,3.30384784681081,0.5714,0.0494,2011,24.040466
Australia,2012,3.70774989384992,0.371194931441452,3.95247138119184,27.6233466177263,1.74582000067359,1.76278299052228,0.5722,0.0493,2012,27.521471
Australia,2013,3.43950309398958,-0.0486005822677706,2.65445302592404,27.7570773936691,1.721151439989,2.44988248109259,0.5721,0.0494,2013,30.466475
Australia,2014,4.28599049307814,1.53022518868122,2.60118978187332,26.6111234581966,1.49156648912847,2.48792932080492,0.5729000000000001,0.0493,2014,34.036272
Australia,2015,3.456117831131,0.608694985244069,2.16434780647852,26.1669365772477,1.43921665259925,1.50836803138463,0.5708,0.0495,2015,37.725806
Australia,2016,3.54660341826144,-0.256575969452807,2.75564065529868,25.3483902403269,1.56194049810399,1.27699365720306,0.5688,0.0498,2016,40.620637
Australia,2017,3.62158795648508,0.751741634576957,2.29331030192918,24.0798824498086,1.64682779735017,1.94864309065653,0.5710000000000001,0.0495,2017,41.195415
Australia,2018,4.23450805251819,0.0719923583502421,2.87417039499501,24.5546475824653,1.49599671041328,1.91140002818579,0.5721,0.0494,2018,41.758013
Australia,2019,2.77077560426989,0.63637512136732,2.19401703622717,23.2971815966264,1.47749071058438,1.610770929127,0.5710000000000001,0.0496,2019,46.720395
